species_code,species_name,common_name
0,Accipiter cooperii,Cooper's Hawk
1,Accipiter gentilis,Northern Goshawk
2,Accipiter striatus,Sharp-shinned Hawk
3,Aegolius acadicus,Northern Saw-whet Owl
4,Aeronautes saxatalis,White-throated Swift
5,Agelaius phoeniceus,Red-winged Blackbird
6,Agelaius tricolor,Tricolored Blackbird
7,Aimophila ruficeps,Rufous-crowned Sparrow
8,Alectoris chukar,Chukar
9,Ammodramus savannarum,Grasshopper Sparrow
10,Amphispiza bilineata,Black-throated Sparrow
11,Anthus rubescens,American Pipit
12,Anthus spragueii,Sprague's Pipit
13,Antigone canadensis,Sandhill Crane
14,Antrostomus arizonae,Mexican Whip-poor-will
15,Aphelocoma californica,California Scrub-Jay
16,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay
17,Aquila chrysaetos,Golden Eagle
18,Archilochus alexandri,Black-chinned Hummingbird
19,Artemisiospiza belli,Bell's Sparrow
20,Artemisiospiza nevadensis,Sagebrush Sparrow
21,Asio flammeus,Short-eared Owl
22,Asio otus,Long-eared Owl
23,Athene cunicularia,Burrowing Owl
24,Auriparus flaviceps,Verdin
25,Baeolophus inornatus,Oak Titmouse
26,Baeolophus ridgwayi,Juniper Titmouse
27,Bombycilla cedrorum,Cedar Waxwing
28,Bonasa umbellus,Ruffed Grouse
29,Brachyramphus marmoratus,Marbled Murrelet
30,Bubo virginianus,Great Horned Owl
31,Buteo jamaicensis,Red-tailed Hawk
32,Buteo lagopus,Rough-legged Hawk
33,Buteo lineatus,Red-shouldered Hawk
34,Buteo regalis,Ferruginous Hawk
35,Buteo swainsoni,Swainson's Hawk
36,Calcarius lapponicus,Lapland Longspur
37,Callipepla californica,California Quail
38,Callipepla gambelii,Gambel's Quail
39,Calypte anna,Anna's Hummingbird
40,Calypte costae,Costa's Hummingbird
41,Campylorhynchus brunneicapillus,Cactus Wren
42,Cardellina pusilla,Wilson's Warbler
43,Cardinalis cardinalis,Northern Cardinal
44,Cathartes aura,Turkey Vulture
45,Catharus guttatus,Hermit Thrush
46,Catharus ustulatus,Swainson's Thrush
47,Catherpes mexicanus,Canyon Wren
48,Certhia americana,Brown Creeper
49,Chaetura vauxi,Vaux's Swift
50,Chamaea fasciata,Wrentit
51,Chondestes grammacus,Lark Sparrow
52,Chordeiles acutipennis,Lesser Nighthawk
53,Chordeiles minor,Common Nighthawk
54,Cinclus mexicanus,American Dipper
55,Circus hudsonius,Northern Harrier
56,Cistothorus palustris,Marsh Wren
57,Coccothraustes vespertinus,Evening Grosbeak
58,Coccyzus americanus,Yellow-billed Cuckoo
59,Colaptes auratus,Northern Flicker
60,Colaptes chrysoides,Gilded Flicker
61,Columba livia,Rock Pigeon
62,Columbina inca,Inca Dove
63,Columbina passerina,Common Ground Dove
64,Contopus cooperi,Olive-sided Flycatcher
65,Contopus sordidulus,Western Wood-Pewee
66,Corvus brachyrhynchos,American Crow
67,Corvus corax,Common Raven
68,Cyanocitta stelleri,Steller's Jay
69,Dendragapus fuliginosus,Sooty Grouse
70,Dryobates albolarvatus,White-headed Woodpecker
71,Dryobates nuttallii,Nuttall's Woodpecker
72,Dryobates pubescens,Downy Woodpecker
73,Dryobates scalaris,Ladder-backed Woodpecker
74,Dryobates villosus,Hairy Woodpecker
75,Dryocopus pileatus,Pileated Woodpecker
76,Elanus leucurus,White-tailed Kite
77,Empidonax difficilis,Pacific-slope Flycatcher
78,Empidonax hammondii,Hammond's Flycatcher
79,Empidonax oberholseri,Dusky Flycatcher
80,Empidonax occidentalis,Cordilleran Flycatcher
81,Empidonax traillii,Willow Flycatcher
82,Empidonax wrightii,Gray Flycatcher
83,Eremophila alpestris,Horned Lark
84,Euphagus cyanocephalus,Brewer's Blackbird
85,Falco columbarius,Merlin
86,Falco mexicanus,Prairie Falcon
87,Falco peregrinus,Peregrine Falcon
88,Falco sparverius,American Kestrel
89,Geococcyx californianus,Greater Roadrunner
90,Geothlypis tolmiei,MacGillivray's Warbler
91,Geothlypis trichas,Common Yellowthroat
92,Glaucidium gnoma,Northern Pygmy-Owl
93,Gymnorhinus cyanocephalus,Pinyon Jay
94,Haemorhous cassinii,Cassin's Finch
95,Haemorhous mexicanus,House Finch
96,Haemorhous purpureus,Purple Finch
97,Haliaeetus leucocephalus,Bald Eagle
98,Hirundo rustica,Barn Swallow
99,Icteria virens,Yellow-breasted Chat
100,Icterus bullockii,Bullock's Oriole
101,Icterus cucullatus,Hooded Oriole
102,Icterus galbula,Baltimore Oriole
103,Icterus parisorum,Scott's Oriole
104,Ixoreus naevius,Varied Thrush
105,Junco hyemalis,Dark-eyed Junco
106,Lagopus leucura,White-tailed Ptarmigan
107,Lanius borealis,Northern Shrike
108,Lanius ludovicianus,Loggerhead Shrike
109,Leiothlypis celata,Orange-crowned Warbler
110,Leiothlypis luciae,Lucy's Warbler
111,Leiothlypis ruficapilla,Nashville Warbler
112,Leiothlypis virginiae,Virginia's Warbler
113,Leucosticte tephrocotis,Gray-crowned Rosy-Finch
114,Loxia curvirostra,Red Crossbill
115,Megaceryle alcyon,Belted Kingfisher
116,Megascops kennicottii,Western Screech-Owl
117,Melanerpes formicivorus,Acorn Woodpecker
118,Melanerpes lewis,Lewis's Woodpecker
119,Melanerpes uropygialis,Gila Woodpecker
120,Meleagris gallopavo,Wild Turkey
121,Melospiza georgiana,Swamp Sparrow
122,Melospiza lincolnii,Lincoln's Sparrow
123,Melospiza melodia,Song Sparrow
124,Melozone aberti,Abert's Towhee
125,Melozone crissalis,California Towhee
126,Mimus polyglottos,Northern Mockingbird
127,Molothrus aeneus,Bronzed Cowbird
128,Molothrus ater,Brown-headed Cowbird
129,Myadestes townsendi,Townsend's Solitaire
130,Myiarchus cinerascens,Ash-throated Flycatcher
131,Myiarchus tyrannulus,Brown-crested Flycatcher
132,Nucifraga columbiana,Clark's Nutcracker
133,Oreortyx pictus,Mountain Quail
134,Oreoscoptes montanus,Sage Thrasher
135,Pandion haliaetus,Osprey
136,Parabuteo unicinctus,Harris's Hawk
137,Passer domesticus,House Sparrow
138,Passerculus sandwichensis,Savannah Sparrow
139,Passerella iliaca,Fox Sparrow
140,Passerina amoena,Lazuli Bunting
141,Passerina caerulea,Blue Grosbeak
142,Passerina cyanea,Indigo Bunting
143,Patagioenas fasciata,Band-tailed Pigeon
144,Perisoreus canadensis,Canada Jay
145,Petrochelidon pyrrhonota,Cliff Swallow
146,Phainopepla nitens,Phainopepla
147,Phalaenoptilus nuttallii,Common Poorwill
148,Phasianus colchicus,Ring-necked Pheasant
149,Pheucticus ludovicianus,Rose-breasted Grosbeak
150,Pheucticus melanocephalus,Black-headed Grosbeak
151,Pica hudsonia,Black-billed Magpie
152,Pica nuttalli,Yellow-billed Magpie
153,Picoides arcticus,Black-backed Woodpecker
154,Laterallus jamaicensis,Black Rail
155,Pinicola enucleator,Pine Grosbeak
156,Pipilo chlorurus,Green-tailed Towhee
157,Pipilo maculatus,Spotted Towhee
158,Piranga flava,Hepatic Tanager
159,Piranga ludoviciana,Western Tanager
160,Piranga rubra,Summer Tanager
161,Poecile atricapillus,Black-capped Chickadee
162,Poecile gambeli,Mountain Chickadee
163,Poecile rufescens,Chestnut-backed Chickadee
164,Polioptila caerulea,Blue-gray Gnatcatcher
165,Polioptila californica,California Gnatcatcher
166,Polioptila melanura,Black-tailed Gnatcatcher
167,Pooecetes gramineus,Vesper Sparrow
168,Progne subis,Purple Martin
169,Psaltriparus minimus,Bushtit
170,Psiloscops flammeolus,Flammulated Owl
171,Pyrocephalus rubinus,Vermilion Flycatcher
172,Quiscalus mexicanus,Great-tailed Grackle
173,Regulus calendula,Ruby-crowned Kinglet
174,Regulus satrapa,Golden-crowned Kinglet
175,Riparia riparia,Bank Swallow
176,Salpinctes obsoletus,Rock Wren
177,Sayornis nigricans,Black Phoebe
178,Sayornis saya,Say's Phoebe
179,Selasphorus calliope,Calliope Hummingbird
180,Selasphorus platycercus,Broad-tailed Hummingbird
181,Selasphorus rufus,Rufous Hummingbird
182,Selasphorus sasin,Allen's Hummingbird
183,Setophaga coronata,Yellow-rumped Warbler
184,Setophaga nigrescens,Black-throated Gray Warbler
185,Setophaga occidentalis,Hermit Warbler
186,Setophaga petechia,Yellow Warbler
187,Setophaga townsendi,Townsend's Warbler
188,Sialia currucoides,Mountain Bluebird
189,Sialia mexicana,Western Bluebird
190,Sitta canadensis,Red-breasted Nuthatch
191,Sitta carolinensis,White-breasted Nuthatch
192,Sitta pygmaea,Pygmy Nuthatch
193,Sphyrapicus nuchalis,Red-naped Sapsucker
194,Sphyrapicus ruber,Red-breasted Sapsucker
195,Sphyrapicus thyroideus,Williamson's Sapsucker
196,Spinus lawrencei,Lawrence's Goldfinch
197,Spinus pinus,Pine Siskin
198,Spinus psaltria,Lesser Goldfinch
199,Spinus tristis,American Goldfinch
200,Spizella atrogularis,Black-chinned Sparrow
201,Spizella breweri,Brewer's Sparrow
202,Spizella passerina,Chipping Sparrow
203,Spizelloides arborea,American Tree Sparrow
204,Stelgidopteryx serripennis,Northern Rough-winged Swallow
205,Streptopelia chinensis,Spotted Dove
206,Streptopelia decaocto,Eurasian Collared-Dove
207,Strix nebulosa,Great Gray Owl
208,Strix occidentalis,Spotted Owl
209,Strix occidentalis,Spotted Owl (bark)
210,Strix occidentalis,Spotted Owl (cont)
211,Strix occidentalis,Spotted Owl (four)
212,Strix occidentalis,Spotted Owl (juve)
213,Strix occidentalis,Spotted Owl (monk)
214,Strix varia,Barred Owl
215,Sturnella neglecta,Western Meadowlark
216,Sturnus vulgaris,European Starling
217,Tachycineta bicolor,Tree Swallow
218,Tachycineta thalassina,Violet-green Swallow
219,Thryomanes bewickii,Bewick's Wren
220,Toxostoma crissale,Crissal Thrasher
221,Toxostoma lecontei,LeConte's Thrasher
222,Toxostoma redivivum,California Thrasher
223,Troglodytes aedon,House Wren
224,Troglodytes pacificus,Pacific Wren
225,Turdus migratorius,American Robin
226,Tyrannus verticalis,Western Kingbird
227,Tyrannus vociferans,Cassin's Kingbird
228,Tyto alba,Barn Owl
229,Vireo bellii,Bell's Vireo
230,Vireo cassinii,Cassin's Vireo
231,Vireo gilvus,Warbling Vireo
232,Vireo huttoni,Hutton's Vireo
233,Vireo plumbeus,Plumbeous Vireo
234,Vireo vicinior,Gray Vireo
235,Xanthocephalus xanthocephalus,Yellow-headed Blackbird
236,Zenaida asiatica,White-winged Dove
237,Zenaida macroura,Mourning Dove
238,Zonotrichia albicollis,White-throated Sparrow
239,Zonotrichia atricapilla,Golden-crowned Sparrow
240,Zonotrichia leucophrys,White-crowned Sparrow
